start_ticks,end_ticks,start_s,end_s,seconds_per_tick,seconds_per_beat
0,0,0,0,,
0,17408,0,29.565176,0.0016983671875,0.434782
17408,41984,29.565176,70.128536,0.00165052734375,0.422535
41984,46080,70.128536,76.749224,0.00161637890625,0.413793
46080,48128,76.749224,79.992464,0.00158361328125,0.405405
48128,48256,79.992464,80.192464,0.0015625,0.4
48256,48384,80.192464,80.38812,0.0015285625,0.391312
48384,48512,80.38812,80.5796175,0.00149607421875,0.382995
48512,48640,80.5796175,80.767129,0.00146493359375,0.375023
48640,48768,80.767129,80.950817,0.0014350625,0.367376
48768,48896,80.950817,81.130835,0.001406390625,0.360036
48896,49024,81.130835,81.307326,0.0013788359375,0.352982
49024,49152,81.307326,81.48042600000001,0.00135234375,0.3462
49152,49280,81.48042600000001,81.65026250000001,0.00132684765625,0.339673
49280,49408,81.65026250000001,81.81695650000002,0.001302296875,0.333388
49408,49536,81.81695650000002,81.98062250000002,0.001278640625,0.327332
49536,49664,81.98062250000002,82.14136800000003,0.00125582421875,0.321491
49664,50175,82.14136800000003,82.77171244921878,0.00123355078125,0.315789
50175,66560,82.77171244921878,102.98344200000003,0.00123355078125,0.315789
66560,70656,102.98344200000003,107.78344200000002,0.001171875,0.3
70656,73216,107.78344200000002,110.71026200000003,0.0011432890625,0.292682
73216,73472,110.71026200000003,110.99597600000003,0.0011160703125,0.285714
73472,73728,110.99597600000003,111.27504500000003,0.00109011328125,0.279069
73728,74752,111.27504500000003,112.36595300000003,0.00106533984375,0.272727
74752,74752,112.36595300000003,112.36595300000003,0.00090144140625,0.230769
